State,Year,Population
Georgia,2012,9914668
Hawaii,2012,1391820
Idaho,2012,1595911
Illinois,2012,12870798
Indiana,2012,6537743
Iowa,2012,3076310
Kansas,2012,2885262
Kentucky,2012,4384799
Louisiana,2012,4603429
Maine,2012,1328895
Maryland,2012,5889651
Massachusetts,2012,6658008
Michigan,2012,9887238
Minnesota,2012,5380285
Mississippi,2012,2984945
Missouri,2012,6025415
Montana,2012,1005196
Nebraska,2012,1855725
Nevada,2012,2752565
New Hampshire,2012,1321182
New Jersey,2012,8873211
New Mexico,2012,2083784
New York,2012,19602769
North Carolina,2012,9746175
North Dakota,2012,702087
Ohio,2012,11550839
Oklahoma,2012,3817054
Oregon,2012,3899116
Pennsylvania,2012,12771854
Rhode Island,2012,1052901
South Carolina,2012,4720760
South Dakota,2012,834441
Tennessee,2012,6454306
Texas,2012,26071655
Utah,2012,2855782
Vermont,2012,626444
Virginia,2012,8192048
Washington,2012,6895226
West Virginia,2012,1856560
Wisconsin,2012,5726177
Wyoming,2012,576765
Alabama,2013,4829479
Alaska,2013,736879
Arizona,2013,6624617
Arkansas,2013,2958663
California,2013,38335203
Colorado,2013,5267603
Delaware,2013,925395
District of Columbia,2013,649165
Florida,2013,19582022
Georgia,2013,9984938
Hawaii,2013,1406481
Idaho,2013,1612011
Illinois,2013,12879505
Indiana,2013,6569102
Iowa,2013,3091930
Kansas,2013,2892821
Kentucky,2013,4400477
Louisiana,2013,4626402
Maine,2013,1329076
Maryland,2013,5931129
Massachusetts,2013,6706786
Michigan,2013,9898982
Minnesota,2013,5418521
Mississippi,2013,2990482
Missouri,2013,6042711
Montana,2013,1014314
Nebraska,2013,1868559
Nevada,2013,2786464
New Hampshire,2013,1322687
New Jersey,2013,8899162
New Mexico,2013,2085193
New York,2013,19673546
North Carolina,2013,9841590
North Dakota,2013,724019
Ohio,2013,11570022
Oklahoma,2013,3852415
Oregon,2013,3925751
Pennsylvania,2013,12781338
Rhode Island,2013,1053033
South Carolina,2013,4767894
South Dakota,2013,844922
Tennessee,2013,6494821
Texas,2013,26473525
Utah,2013,2902663
Vermont,2013,627140
Virginia,2013,8262692
Washington,2013,6968006
West Virginia,2013,1853231
Wisconsin,2013,5742854
Wyoming,2013,582684
Alabama,2014,4843214
Alaska,2014,736705
Arizona,2014,6719993
Arkansas,2014,2966912
California,2014,38680810
Colorado,2014,5349648
Delaware,2014,934948
District of Columbia,2014,659005
Florida,2014,19888741
Georgia,2014,10087231
Hawaii,2014,1416349
Idaho,2014,1633532
Illinois,2014,12867544
Indiana,2014,6595233
Iowa,2014,3108030
Kansas,2014,2899360
Kentucky,2014,4413057
Louisiana,2014,4647880
Maine,2014,1330719
Maryland,2014,5967295
Massachusetts,2014,6749911
Michigan,2014,9915767
Minnesota,2014,5453109
Mississippi,2014,2992400
Missouri,2014,6060930
Montana,2014,1022867
Nebraska,2014,1881145
Nevada,2014,2833013
New Hampshire,2014,1328743
New Jersey,2014,8925001
New Mexico,2014,2083024
New York,2014,19718515
North Carolina,2014,9934399
North Dakota,2014,739904
Ohio,2014,11594408
Oklahoma,2014,3877499
Oregon,2014,3968371
Pennsylvania,2014,12790565
Rhode Island,2014,1054480
South Carolina,2014,4828430
South Dakota,2014,852561
Tennessee,2014,6544663
Texas,2014,26944751
Utah,2014,2941836
Vermont,2014,626984
Virginia,2014,8317372
Washington,2014,7054196
West Virginia,2014,1848514
Wisconsin,2014,5758377
Wyoming,2014,583642
Alabama,2015,4853875
Alaska,2015,737709
Arizona,2015,6817565
Arkansas,2015,2977853
California,2015,38993940
Colorado,2015,5448819
Delaware,2015,944076
District of Columbia,2015,670377
Florida,2015,20244914
Georgia,2015,10199398
Hawaii,2015,1425157
Idaho,2015,1652828
Illinois,2015,12839047
Indiana,2015,6612768
Iowa,2015,3121997
Kansas,2015,2906721
Kentucky,2015,4424611
Louisiana,2015,4668960
Maine,2015,1329453
Maryland,2015,5994983
Massachusetts,2015,6784240
Michigan,2015,9917715
Minnesota,2015,5482435
Mississippi,2015,2989390
Missouri,2015,6076204
Montana,2015,1032073
Nebraska,2015,1893765
Nevada,2015,2883758
New Hampshire,2015,1330111
New Jersey,2015,8935421
New Mexico,2015,2080328
New York,2015,19747183
North Carolina,2015,10035186
North Dakota,2015,756835
Ohio,2015,11605090
Oklahoma,2015,3907414
Oregon,2015,4024634
Pennsylvania,2015,12791904
Rhode Island,2015,1055607
South Carolina,2015,4894834
South Dakota,2015,857919
Tennessee,2015,6595056
Texas,2015,27429639
Utah,2015,2990632
Vermont,2015,626088
Virginia,2015,8367587
Washington,2015,7160290
West Virginia,2015,1841053
Wisconsin,2015,5767891
Wyoming,2015,586555
Alabama,2016,4863300
Alaska,2016,741894
Arizona,2016,6931071
Arkansas,2016,2988248
California,2016,39250017
Colorado,2016,5540545
Delaware,2016,952065
District of Columbia,2016,681170
Florida,2016,20612439
Georgia,2016,10310371
Hawaii,2016,1428557
Idaho,2016,1683140
Illinois,2016,12801539
Indiana,2016,6633053
Iowa,2016,3134693
Kansas,2016,2907289
Kentucky,2016,4436974
Louisiana,2016,4681666
Maine,2016,1331479
Maryland,2016,6016447
Massachusetts,2016,6811779
Michigan,2016,9928300
Minnesota,2016,5519952
Mississippi,2016,2988726
Missouri,2016,6093000
Montana,2016,1042520
Nebraska,2016,1907116
Nevada,2016,2940058
New Hampshire,2016,1334795
New Jersey,2016,8944469
New Mexico,2016,2081015
New York,2016,19745289
North Carolina,2016,10146788
North Dakota,2016,757952
Ohio,2016,11614373
Oklahoma,2016,3923561
Oregon,2016,4093465
Pennsylvania,2016,12784227
Rhode Island,2016,1056426
South Carolina,2016,4961119
South Dakota,2016,865454
Tennessee,2016,6651194
Texas,2016,27862596
Utah,2016,3051217
Vermont,2016,624594
Virginia,2016,8411808
Washington,2016,7288000
West Virginia,2016,1831102
Wisconsin,2016,5778708
Wyoming,2016,585501
